Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 03, 2020",$0.147,$0.1476,$0.1412,$0.1475,"$2,081,393","$42,443,602"
"Apr 02, 2020",$0.1434,$0.1474,$0.1421,$0.1468,"$3,054,387","$42,251,732"
"Apr 01, 2020",$0.1405,$0.1433,$0.1368,$0.1433,"$1,897,724","$41,243,518"
"Mar 31, 2020",$0.1395,$0.1443,$0.1393,$0.1405,"$8,299,149","$40,444,289"
"Mar 30, 2020",$0.1359,$0.1406,$0.1357,$0.1394,"$8,037,887","$40,104,303"
"Mar 29, 2020",$0.1373,$0.141,$0.1357,$0.1361,"$3,042,825","$39,151,214"
"Mar 28, 2020",$0.1433,$0.1434,$0.1358,$0.1371,"$3,188,169","$39,464,431"
"Mar 27, 2020",$0.1483,$0.1506,$0.1436,$0.1436,"$3,428,720","$41,316,135"
"Mar 26, 2020",$0.1474,$0.1498,$0.1447,$0.1483,"$3,790,205","$42,666,960"
"Mar 25, 2020",$0.1526,$0.1534,$0.1448,$0.1474,"$3,311,230","$42,426,072"
"Mar 24, 2020",$0.1439,$0.154,$0.1422,$0.1523,"$5,017,903","$43,835,762"
"Mar 23, 2020",$0.1316,$0.1435,$0.1294,$0.1434,"$5,411,011","$41,268,659"
"Mar 22, 2020",$0.1396,$0.1476,$0.1311,$0.1316,"$2,801,624","$37,863,524"
"Mar 21, 2020",$0.1413,$0.1449,$0.1344,$0.1396,"$2,688,248","$40,173,231"
"Mar 20, 2020",$0.1495,$0.1618,$0.1391,$0.1413,"$4,149,550","$40,647,361"
"Mar 19, 2020",$0.1253,$0.1862,$0.1216,$0.1492,"$6,084,342","$42,938,054"
"Mar 18, 2020",$0.1355,$0.137,$0.1216,$0.1253,"$2,817,085","$36,067,035"
"Mar 17, 2020",$0.1375,$0.1411,$0.1349,$0.1353,"$1,884,636","$38,943,253"
"Mar 16, 2020",$0.1439,$0.1456,$0.1338,$0.1376,"$2,316,610","$39,582,646"
"Mar 15, 2020",$0.1489,$0.1511,$0.1428,$0.1441,"$1,855,546","$41,471,693"
"Mar 14, 2020",$0.1618,$0.1632,$0.1454,$0.1489,"$1,694,639","$42,849,595"
"Mar 13, 2020",$0.1565,$0.1673,$0.1201,$0.1618,"$2,757,862","$46,546,879"
"Mar 12, 2020",$0.2001,$0.2005,$0.1565,$0.1565,"$5,018,755","$45,043,689"
"Mar 11, 2020",$0.207,$0.2121,$0.1985,$0.2003,"$3,955,637","$57,653,225"
"Mar 10, 2020",$0.2087,$0.2145,$0.2011,$0.2067,"$3,080,617","$59,478,373"
"Mar 09, 2020",$0.2107,$0.2115,$0.1998,$0.2088,"$11,398,912","$60,094,573"
"Mar 08, 2020",$0.2356,$0.2356,$0.2104,$0.2104,"$3,117,366","$60,545,837"
"Mar 07, 2020",$0.2374,$0.2395,$0.2339,$0.2356,"$3,107,814","$67,786,990"
"Mar 06, 2020",$0.239,$0.242,$0.2349,$0.2374,"$3,646,263","$68,323,766"
"Mar 05, 2020",$0.2367,$0.2419,$0.2365,$0.239,"$4,651,825","$68,771,099"
"Mar 04, 2020",$0.2401,$0.2484,$0.2355,$0.2371,"$4,868,361","$68,221,036"
"Mar 03, 2020",$0.2454,$0.2501,$0.2372,$0.2401,"$4,451,589","$69,092,074"
"Mar 02, 2020",$0.2419,$0.2625,$0.2407,$0.2458,"$8,403,800","$70,746,350"
"Mar 01, 2020",$0.2213,$0.2554,$0.2188,$0.241,"$7,323,089","$69,363,766"
"Feb 29, 2020",$0.2185,$0.2218,$0.2178,$0.2215,"$6,806,689","$63,750,504"
"Feb 28, 2020",$0.225,$0.2256,$0.2138,$0.2186,"$8,118,427","$62,919,062"
"Feb 27, 2020",$0.2147,$0.2288,$0.2122,$0.225,"$8,110,738","$64,748,533"
"Feb 26, 2020",$0.2329,$0.234,$0.214,$0.215,"$6,412,526","$61,866,359"
"Feb 25, 2020",$0.2461,$0.2466,$0.2307,$0.2331,"$4,979,686","$67,085,265"
"Feb 24, 2020",$0.2621,$0.2626,$0.2438,$0.2462,"$4,392,518","$70,838,759"
